こんにゃく,5
たまねぎ,37
うどん,105
プリン,126
たまご,151
ごはん,168
アイスクリーム,200
さんま,310
フライドポテト,388
カップ麺,448
ポテトチップス,554
チョコレート,557
ラーメン,799
